,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
0,http://www.wikidata.org/entity/Q89493281,Jimmy Prime,1993,male,Canada,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1,http://www.wikidata.org/entity/Q4993086,Kreva,1976,male,Japan,Asia,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
2,http://www.wikidata.org/entity/Q23664291,Ko-Jo Cue,1989,male,Ghana,Africa,"rapper, songwriter, record producer, singer, composer","rapper, songwriter, record producer, singer, composer"
3,http://www.wikidata.org/entity/Q28498299,Tommy Cash,1991,male,Estonia,Europe,"rapper, singer","rapper, singer"
4,http://www.wikidata.org/entity/Q5026891,Camoflauge,1981,male,United States,North America,rapper,rapper
5,http://www.wikidata.org/entity/Q115987492,Hiro,1992,male,Slovakia,Europe,rapper,rapper
6,http://www.wikidata.org/entity/Q70063212,Baby Keem,2000,male,United States,North America,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
7,http://www.wikidata.org/entity/Q3421428,Willem de Bruin,1985,male,Kingdom of the Netherlands,Europe,"presenter, rapper, television presenter, record producer","presenter, rapper, television presenter, record producer"
8,http://www.wikidata.org/entity/Q130619416,Q130619416,1986,female,Poland,Europe,rapper,rapper
9,http://www.wikidata.org/entity/Q110092992,Le Motif,1989,male,Belgium,Europe,"rapper, composer","rapper, composer"
10,http://www.wikidata.org/entity/Q7132351,Papa Reu,1901,male,United States,North America,"producer, rapper, songwriter, singer","producer, rapper, songwriter, singer"
11,http://www.wikidata.org/entity/Q39394703,Jah Khalib,1993,male,Kazakhstan,Asia,"rapper, record producer","rapper, record producer"
12,http://www.wikidata.org/entity/Q3156543,J'L'Tismé,1901,male,France,Europe,rapper,rapper
13,http://www.wikidata.org/entity/Q5306986,Dres,1967,male,United States,North America,"film actor, rapper, actor","film actor, rapper, actor"
14,http://www.wikidata.org/entity/Q86098519,Sepia,2000,male,Belgium,Europe,rapper,rapper
15,http://www.wikidata.org/entity/Q5112827,Christopher Martin,1962,male,United States,North America,"film actor, rapper, actor","film actor, rapper, actor"
16,http://www.wikidata.org/entity/Q56249773,ProfJam,1991,male,Portugal,Europe,"rapper, singer","rapper, singer"
17,http://www.wikidata.org/entity/Q17181160,Evil Pimp,1981,male,United States,North America,"rapper, songwriter, record producer, entrepreneur","rapper, songwriter, record producer, entrepreneur"
18,http://www.wikidata.org/entity/Q61835951,Shavi Princi,1971,male,"Georgia, Soviet Union","Europe, Asia",rapper,rapper
19,http://www.wikidata.org/entity/Q16156842,Abidaz,1980,male,Sweden,Europe,rapper,rapper
20,http://www.wikidata.org/entity/Q124530232,Bitsu,1999,male,France,Europe,rapper,rapper
21,http://www.wikidata.org/entity/Q2142004,Riza Tisserand,1973,male,Kingdom of the Netherlands,Europe,"cabaret performer, rapper","cabaret performer, rapper"
22,http://www.wikidata.org/entity/Q107037142,Ysy A,1998,male,Argentina,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
23,http://www.wikidata.org/entity/Q125550577,Okis,1998,male,France,Europe,rapper,rapper
24,http://www.wikidata.org/entity/Q3242356,Liroy,1971,male,Poland,Europe,"rapper, musician, politician, actor","rapper, musician, politician, actor"
25,http://www.wikidata.org/entity/Q34269,Prince Paul,1967,male,United States,North America,"composer, rapper, record producer, disc jockey","composer, rapper, record producer, disc jockey"
26,http://www.wikidata.org/entity/Q131749242,iliyashamary,2008,male,Iran,Asia,rapper,rapper
27,http://www.wikidata.org/entity/Q5707842,El Primo,2000,male,Sweden,Europe,rapper,rapper
28,http://www.wikidata.org/entity/Q2602489,Yüksel D.,1969,male,Turkey,Asia,rapper,rapper
29,http://www.wikidata.org/entity/Q1491126,SwinDoe,2000,male,United States,North America,"rapper, musician","rapper, musician"
30,http://www.wikidata.org/entity/Q104632488,Green Montana,1993,male,Belgium,Europe,rapper,rapper
31,http://www.wikidata.org/entity/Q56260243,Q56260243,1950,female,Italy,Europe,"rapper, singer","rapper, singer"
32,http://www.wikidata.org/entity/Q107139607,Gino Ammersingh,1984,male,Suriname,"North America, South America","rapper, songwriter, entrepreneur","rapper, songwriter, entrepreneur"
33,http://www.wikidata.org/entity/Q104370664,Sasa Klaas,1993,female,Botswana,Africa,"rapper, singer","rapper, singer"
34,http://www.wikidata.org/entity/Q15260440,4tune,1988,male,Germany,Europe,rapper,rapper
35,http://www.wikidata.org/entity/Q859139,Big Noyd,1975,male,United States,North America,"rapper, musician, singer","rapper, musician, singer"
36,http://www.wikidata.org/entity/Q7578567,Spliff Star,1975,male,United States,North America,rapper,rapper
37,http://www.wikidata.org/entity/Q214227,T.I.,1980,male,United States,North America,"activist, film actor, rapper, songwriter, record producer, entrepreneur, businessperson, writer, actor","activist, film actor, rapper, songwriter, record producer, entrepreneur, businessperson, writer, actor"
38,http://www.wikidata.org/entity/Q3431664,Rico Love,1982,male,United States,North America,"rapper, record producer","rapper, record producer"
39,http://www.wikidata.org/entity/Q92275685,Fiifi Ghansah,1995,male,Finland,Europe,rapper,rapper
40,http://www.wikidata.org/entity/Q108566508,Le Juiice,1993,female,France,Europe,"rapper, entrepreneur","rapper, entrepreneur"
41,http://www.wikidata.org/entity/Q4801078,Goldie Harvey,1983,female,Nigeria,Africa,"television personality, rapper, songwriter, singer","television personality, rapper, songwriter, singer"
42,http://www.wikidata.org/entity/Q119348893,WIU,2002,male,Brazil,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
43,http://www.wikidata.org/entity/Q22959179,Futuristic,1991,male,United States,North America,rapper,rapper
44,http://www.wikidata.org/entity/Q3555142,Adil Takhssait,1979,male,"Morocco, France, Canada","Africa, Europe, North America","rapper, musician, singer","rapper, musician, singer"
45,http://www.wikidata.org/entity/Q15635447,Kaaris,1980,male,France,Europe,"rapper, record producer, singer, actor","rapper, record producer, singer, actor"
46,http://www.wikidata.org/entity/Q919961,Busdriver,1978,male,United States,North America,"rapper, musician, record producer, singer, composer","rapper, musician, record producer, singer, composer"
47,http://www.wikidata.org/entity/Q56467651,Darell,1990,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
48,http://www.wikidata.org/entity/Q12204096,Jad Shwery,1984,male,Lebanon,Asia,"rapper, musician, actor","rapper, musician, actor"
49,http://www.wikidata.org/entity/Q22007413,Nef the Pharaoh,1995,male,United States,North America,rapper,rapper
50,http://www.wikidata.org/entity/Q5579851,Blues,1975,male,Sweden,Europe,"voice actor, rapper, musician","voice actor, rapper, musician"
51,http://www.wikidata.org/entity/Q54572009,MC Neat,2000,male,United Kingdom,Europe,"rapper, singer","rapper, singer"
52,http://www.wikidata.org/entity/Q1248990,Mayer Hawthorne,1979,male,United States,North America,"rapper, record producer, singer, disc jockey","rapper, record producer, singer, disc jockey"
53,http://www.wikidata.org/entity/Q30072039,Quavo,1991,male,United States,North America,"rapper, songwriter, musician, record producer, singer, composer, actor","rapper, songwriter, musician, record producer, singer, composer, actor"
54,http://www.wikidata.org/entity/Q313146,Obie Trice,1977,male,United States,North America,"rapper, songwriter","rapper, songwriter"
55,http://www.wikidata.org/entity/Q132577539,Zah1de,2010,female,Germany,Europe,rapper,rapper
56,http://www.wikidata.org/entity/Q111698964,Younès Boucif,1995,male,France,Europe,"film actor, rapper, actor","film actor, rapper, actor"
57,http://www.wikidata.org/entity/Q47524999,JooE,1999,female,South Korea,Asia,"dancer, rapper, singer","dancer, rapper, singer"
58,http://www.wikidata.org/entity/Q6889811,Modulok,1979,male,Canada,North America,rapper,rapper
59,http://www.wikidata.org/entity/Q126951596,Ron Hayon,2006,male,Israel,Asia,"rapper, musician, singer, composer","rapper, musician, singer, composer"
60,http://www.wikidata.org/entity/Q945150,Sinik,1980,male,France,Europe,"rapper, singer","rapper, singer"
61,http://www.wikidata.org/entity/Q246518,Kool Shen,1966,male,France,Europe,"film actor, rapper, record producer, actor","film actor, rapper, record producer, actor"
62,http://www.wikidata.org/entity/Q4935248,Bobby Kim,1973,male,South Korea,Asia,"rapper, singer","rapper, singer"
63,http://www.wikidata.org/entity/Q5207241,Da Grin,1984,male,Nigeria,Africa,"rapper, singer","rapper, singer"
64,http://www.wikidata.org/entity/Q54358753,Ayesem,1986,male,Ghana,Africa,"rapper, songwriter, singer","rapper, songwriter, singer"
65,http://www.wikidata.org/entity/Q45127878,Martina Lynch,1901,female,United States,North America,rapper,rapper
66,http://www.wikidata.org/entity/Q108553313,Qry,1999,male,Poland,Europe,"rapper, songwriter","rapper, songwriter"
67,http://www.wikidata.org/entity/Q115987392,Giajjenno,1986,male,Slovakia,Europe,rapper,rapper
68,http://www.wikidata.org/entity/Q13422063,JUSTHIS,1991,male,South Korea,Asia,"rapper, musician","rapper, musician"
69,http://www.wikidata.org/entity/Q109432058,Anton Budinugroho,1977,male,Indonesia,Asia,"rapper, announcer, songwriter, singer","rapper, announcer, songwriter, singer"
70,http://www.wikidata.org/entity/Q71505354,Dee Ruff,1996,male,United States,North America,rapper,rapper
71,http://www.wikidata.org/entity/Q15913056,Niello,1987,male,Sweden,Europe,"rapper, singer","rapper, singer"
72,http://www.wikidata.org/entity/Q129910,A$AP Rocky,1988,male,United States,North America,"film actor, model, director, rapper, songwriter, record producer, singer, entrepreneur, composer, actor","film actor, model, director, rapper, songwriter, record producer, singer, entrepreneur, composer, actor"
73,http://www.wikidata.org/entity/Q888457,Bobby Brackins,1988,male,United States,North America,"rapper, musician","rapper, musician"
74,http://www.wikidata.org/entity/Q880405,Black Milk,1983,male,United States,North America,"rapper, songwriter, musician, record producer, singer","rapper, songwriter, musician, record producer, singer"
75,http://www.wikidata.org/entity/Q687083,Rob Gee,1971,male,United States,North America,"rapper, record producer, disc jockey","rapper, record producer, disc jockey"
76,http://www.wikidata.org/entity/Q109313236,Mvzzle,1994,male,South Africa,Africa,"visual artist, rapper, record producer, disc jockey","visual artist, rapper, record producer, disc jockey"
77,http://www.wikidata.org/entity/Q117386555,Ariie West,1998,male,United States,North America,"rapper, songwriter, record producer","rapper, songwriter, record producer"
78,http://www.wikidata.org/entity/Q64590515,Abidel,1992,male,Portugal,Europe,"rapper, musician, singer, entrepreneur, audio engineer, composer","rapper, musician, singer, entrepreneur, audio engineer, composer"
79,http://www.wikidata.org/entity/Q1271559,Dú Maroc,1985,male,Germany,Europe,rapper,rapper
80,http://www.wikidata.org/entity/Q110707559,JP THE WAVY,1993,male,Japan,Asia,rapper,rapper
81,http://www.wikidata.org/entity/Q75818547,Nadia Tehran,1991,female,Sweden,Europe,"rapper, singer","rapper, singer"
82,http://www.wikidata.org/entity/Q30069064,Dharius,1984,male,Mexico,North America,"rapper, songwriter, singer, actor","rapper, songwriter, singer, actor"
83,http://www.wikidata.org/entity/Q113540085,C.R.O,1998,male,Argentina,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
84,http://www.wikidata.org/entity/Q2828990,Aketo,1980,male,France,Europe,"rapper, singer","rapper, singer"
85,http://www.wikidata.org/entity/Q3381459,Phonte,1978,male,United States,North America,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
86,http://www.wikidata.org/entity/Q12581721,R-EST,1901,male,South Korea,Asia,rapper,rapper
87,http://www.wikidata.org/entity/Q6896069,Molemo Maarohanye,1901,male,South Africa,Africa,rapper,rapper
88,http://www.wikidata.org/entity/Q9387569,Zawodnik,1983,male,Poland,Europe,rapper,rapper
89,http://www.wikidata.org/entity/Q36804,Eazy-E,1964,male,United States,North America,"drug trafficker, rapper, chief executive officer, record producer, entrepreneur","drug trafficker, rapper, chief executive officer, record producer, entrepreneur"
90,http://www.wikidata.org/entity/Q18580236,Dej Loaf,1991,female,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
91,http://www.wikidata.org/entity/Q60926853,Koffee,2000,female,Jamaica,North America,"rapper, guitarist, songwriter, singer, disc jockey","rapper, guitarist, songwriter, singer, disc jockey"
